"specimen_uid","FA_unsigned","urbanity","species","site"
"ZH_R_D_12_L",1.00009783764432,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_14_L",1.00008059511031,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_15_L",1.00025711035272,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_29_L",1.00015750359378,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_D_31_L",1.00006937799109,"Rural","Bombus lapidarius","ZH-D"
"ZH_R_E_05_L",1.00008882684541,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_08_L",1.0001387752146,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_11_L",1.00003729347354,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_12_L",1.00009680989715,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_E_32_L",1.00005950958254,"Rural","Bombus lapidarius","ZH-E"
"ZH_R_F_10_L",1.00006581720242,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_18_L",1.00002719777395,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_23_L",1.00007196422947,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_28_L",1.00005439116483,"Rural","Bombus lapidarius","ZH-F"
"ZH_R_F_30_L",1.00006725828269,"Rural","Bombus lapidarius","ZH-F"
"ZH_U_A_14_L",1.00009194991319,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_22_L",1.00008776283113,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_23_L",1.00003520593589,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_24_L",1.00019767176033,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_A_25_L",1.00006108572594,"Urban","Bombus lapidarius","ZH-A"
"ZH_U_B_03_L",1.00006399212487,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_22_L",1.00007250653748,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_28_L",1.00006823483608,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_32_L",1.00006389404381,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_B_38_L",1.00007372903262,"Urban","Bombus lapidarius","ZH-B"
"ZH_U_C_01_L",1.00006445083243,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_19_L",1.00007412082391,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_23_L",1.00005444630232,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_25_L",1.0000510540769,"Urban","Bombus lapidarius","ZH-C"
"ZH_U_C_28_L",1.00010027579051,"Urban","Bombus lapidarius","ZH-C"
