"specimen_uid","FA_unsigned_21lm","FA_unsigned_15lm"
"ZH_R_D_12_L",1.00009783764432,1.00015103211444
"ZH_R_D_14_L",1.00008059511031,1.00012599262608
"ZH_R_D_15_L",1.00025711035272,1.00029306253368
"ZH_R_D_29_L",1.00015750359378,1.00015480835777
"ZH_R_D_31_L",1.00006937799109,1.00007786480536
"ZH_R_E_05_L",1.00008882684541,1.00006547319573
"ZH_R_E_08_L",1.0001387752146,1.0001821495671
"ZH_R_E_11_L",1.00003729347354,1.00005435119297
"ZH_R_E_12_L",1.00009680989715,1.00013328608512
"ZH_R_E_32_L",1.00005950958254,1.00006266387371
"ZH_R_F_10_L",1.00006581720242,1.00009451674035
"ZH_R_F_18_L",1.00002719777395,1.00003959199955
"ZH_R_F_23_L",1.00007196422947,1.00010788415118
"ZH_R_F_28_L",1.00005439116483,1.00006852848749
"ZH_R_F_30_L",1.00006725828269,1.00008824758407
"ZH_U_A_14_L",1.00009194991319,1.00013880646587
"ZH_U_A_22_L",1.00008776283113,1.00013272550884
"ZH_U_A_23_L",1.00003520593589,1.00004525641957
"ZH_U_A_24_L",1.00019767176033,1.00029455766415
"ZH_U_A_25_L",1.00006108572594,1.00008575551457
"ZH_U_B_03_L",1.00006399212487,1.00009003103909
"ZH_U_B_22_L",1.00007250653748,1.00009256069326
"ZH_U_B_28_L",1.00006823483608,1.00008689160337
"ZH_U_B_32_L",1.00006389404381,1.0000638182843
"ZH_U_B_38_L",1.00007372903262,1.00009871081933
"ZH_U_C_01_L",1.00006445083243,1.00009662834081
"ZH_U_C_19_L",1.00007412082391,1.0001135601554
"ZH_U_C_23_L",1.00005444630232,1.00007458026103
"ZH_U_C_25_L",1.0000510540769,1.00006771455364
"ZH_U_C_28_L",1.00010027579051,1.00014413722468
